Series;Time;Value
Alliance;2019-05-25T16:07:38.000Z;0
Alliance;2019-05-25T16:07:42.000Z;0
Alliance;2019-05-25T16:07:46.000Z;0
Alliance;2019-05-25T16:07:50.000Z;0
Alliance;2019-05-25T16:07:54.000Z;0
Alliance;2019-05-25T16:07:58.000Z;0
Alliance;2019-05-25T16:08:02.000Z;0
Alliance;2019-05-25T16:08:06.000Z;0
Alliance;2019-05-25T16:08:10.000Z;0
Alliance;2019-05-25T16:08:14.000Z;0
Alliance;2019-05-25T16:08:18.000Z;0
Alliance;2019-05-25T16:08:22.000Z;0
Alliance;2019-05-25T16:08:26.000Z;0
Alliance;2019-05-25T16:08:30.000Z;0
Alliance;2019-05-25T16:08:34.000Z;0
Alliance;2019-05-25T16:08:38.000Z;0
Alliance;2019-05-25T16:08:42.000Z;0
Alliance;2019-05-25T16:08:46.000Z;0
Alliance;2019-05-25T16:08:50.000Z;1
Alliance;2019-05-25T16:08:54.000Z;0
Alliance;2019-05-25T16:08:58.000Z;0
Alliance;2019-05-25T16:09:02.000Z;1
Alliance;2019-05-25T16:09:06.000Z;0
Alliance;2019-05-25T16:09:10.000Z;0
Alliance;2019-05-25T16:09:14.000Z;0
Alliance;2019-05-25T16:09:18.000Z;0
Alliance;2019-05-25T16:09:22.000Z;0
Alliance;2019-05-25T16:09:26.000Z;0
Alliance;2019-05-25T16:09:30.000Z;0
Alliance;2019-05-25T16:09:34.000Z;0
Alliance;2019-05-25T16:09:38.000Z;1.001001001001001
Alliance;2019-05-25T16:09:42.000Z;0
Alliance;2019-05-25T16:09:46.000Z;0
Alliance;2019-05-25T16:09:50.000Z;0
Alliance;2019-05-25T16:09:54.000Z;1
Alliance;2019-05-25T16:09:58.000Z;0
Alliance;2019-05-25T16:10:02.000Z;0
Alliance;2019-05-25T16:10:06.000Z;0
Alliance;2019-05-25T16:10:10.000Z;0
Alliance;2019-05-25T16:10:14.000Z;0
Alliance;2019-05-25T16:10:18.000Z;0
Alliance;2019-05-25T16:10:22.000Z;0
Alliance;2019-05-25T16:10:26.000Z;0
Alliance;2019-05-25T16:10:30.000Z;0
Alliance;2019-05-25T16:10:34.000Z;0
Alliance;2019-05-25T16:10:38.000Z;0
Alliance;2019-05-25T16:10:42.000Z;0
Alliance;2019-05-25T16:10:46.000Z;0
Alliance;2019-05-25T16:10:50.000Z;1
Alliance;2019-05-25T16:10:54.000Z;2
Alliance;2019-05-25T16:10:58.000Z;2
Alliance;2019-05-25T16:11:02.000Z;0
Alliance;2019-05-25T16:11:06.000Z;1
Alliance;2019-05-25T16:11:10.000Z;0
Alliance;2019-05-25T16:11:14.000Z;1
Alliance;2019-05-25T16:11:18.000Z;0
Alliance;2019-05-25T16:11:22.000Z;0
Alliance;2019-05-25T16:11:26.000Z;0
Alliance;2019-05-25T16:11:30.000Z;0
Alliance;2019-05-25T16:11:34.000Z;0
Alliance;2019-05-25T16:11:38.000Z;0
Alliance;2019-05-25T16:11:42.000Z;0
Alliance;2019-05-25T16:11:46.000Z;1
Alliance;2019-05-25T16:11:50.000Z;3
Alliance;2019-05-25T16:11:54.000Z;0
Alliance;2019-05-25T16:11:58.000Z;0
Alliance;2019-05-25T16:12:02.000Z;0
Alliance;2019-05-25T16:12:06.000Z;1
Alliance;2019-05-25T16:12:10.000Z;0
Alliance;2019-05-25T16:12:14.000Z;0
Alliance;2019-05-25T16:12:18.000Z;0
Alliance;2019-05-25T16:12:22.000Z;0
Alliance;2019-05-25T16:12:26.000Z;0
Alliance;2019-05-25T16:12:30.000Z;2
Alliance;2019-05-25T16:12:34.000Z;0
Alliance;2019-05-25T16:12:38.000Z;0
Alliance;2019-05-25T16:12:42.000Z;5
Alliance;2019-05-25T16:12:46.000Z;0
Alliance;2019-05-25T16:12:50.000Z;0
Alliance;2019-05-25T16:12:54.000Z;0
Alliance;2019-05-25T16:12:58.000Z;0
Alliance;2019-05-25T16:13:02.000Z;0
Alliance;2019-05-25T16:13:06.000Z;0
Alliance;2019-05-25T16:13:10.000Z;0
Alliance;2019-05-25T16:13:14.000Z;5
Alliance;2019-05-25T16:13:18.000Z;0
Alliance;2019-05-25T16:13:22.000Z;0
Alliance;2019-05-25T16:13:26.000Z;0
Alliance;2019-05-25T16:13:30.000Z;0
Alliance;2019-05-25T16:13:34.000Z;1
Alliance;2019-05-25T16:13:38.000Z;1
Alliance;2019-05-25T16:13:42.000Z;0
Alliance;2019-05-25T16:13:46.000Z;0
Alliance;2019-05-25T16:13:50.000Z;0
Alliance;2019-05-25T16:13:54.000Z;0
Alliance;2019-05-25T16:13:58.000Z;0
Alliance;2019-05-25T16:14:02.000Z;1
Alliance;2019-05-25T16:14:06.000Z;0
Alliance;2019-05-25T16:14:10.000Z;0
Alliance;2019-05-25T16:14:14.000Z;0
Alliance;2019-05-25T16:14:18.000Z;0
Alliance;2019-05-25T16:14:22.000Z;0
Alliance;2019-05-25T16:14:26.000Z;0
Alliance;2019-05-25T16:14:30.000Z;0
Alliance;2019-05-25T16:14:34.000Z;0
Alliance;2019-05-25T16:14:38.000Z;0
Alliance;2019-05-25T16:14:42.000Z;0
Alliance;2019-05-25T16:14:46.000Z;0
Alliance;2019-05-25T16:14:50.000Z;0
Alliance;2019-05-25T16:14:54.000Z;0
Alliance;2019-05-25T16:14:58.000Z;0
Alliance;2019-05-25T16:15:02.000Z;0
Alliance;2019-05-25T16:15:06.000Z;0
Alliance;2019-05-25T16:15:10.000Z;0
Alliance;2019-05-25T16:15:14.000Z;0
Alliance;2019-05-25T16:15:18.000Z;0
Alliance;2019-05-25T16:15:22.000Z;0
Alliance;2019-05-25T16:15:26.000Z;0
Alliance;2019-05-25T16:15:30.000Z;0
Alliance;2019-05-25T16:15:34.000Z;0
Alliance;2019-05-25T16:15:38.000Z;0
Alliance;2019-05-25T16:15:42.000Z;0
Alliance;2019-05-25T16:15:46.000Z;0
Alliance;2019-05-25T16:15:50.000Z;0
Alliance;2019-05-25T16:15:54.000Z;0
Alliance;2019-05-25T16:15:58.000Z;0
Alliance;2019-05-25T16:16:02.000Z;0
Alliance;2019-05-25T16:16:06.000Z;0
Alliance;2019-05-25T16:16:10.000Z;0
Alliance;2019-05-25T16:16:14.000Z;0
Alliance;2019-05-25T16:16:18.000Z;0
Alliance;2019-05-25T16:16:22.000Z;1
Alliance;2019-05-25T16:16:26.000Z;1
Alliance;2019-05-25T16:16:30.000Z;0
Alliance;2019-05-25T16:16:34.000Z;0
Alliance;2019-05-25T16:16:38.000Z;0
Alliance;2019-05-25T16:16:42.000Z;0
Alliance;2019-05-25T16:16:46.000Z;0
Alliance;2019-05-25T16:16:50.000Z;0
Alliance;2019-05-25T16:16:54.000Z;0
Alliance;2019-05-25T16:16:58.000Z;0
Alliance;2019-05-25T16:17:02.000Z;0
Alliance;2019-05-25T16:17:06.000Z;0
Alliance;2019-05-25T16:17:10.000Z;0
Alliance;2019-05-25T16:17:14.000Z;0
Alliance;2019-05-25T16:17:18.000Z;0
Alliance;2019-05-25T16:17:22.000Z;0
Alliance;2019-05-25T16:17:26.000Z;0
Alliance;2019-05-25T16:17:30.000Z;0
Alliance;2019-05-25T16:17:34.000Z;0
Alliance;2019-05-25T16:17:38.000Z;0
Alliance;2019-05-25T16:17:42.000Z;0
Alliance;2019-05-25T16:17:46.000Z;0
Alliance;2019-05-25T16:17:50.000Z;0
Alliance;2019-05-25T16:17:54.000Z;0
Alliance;2019-05-25T16:17:58.000Z;0
Alliance;2019-05-25T16:18:02.000Z;0
Alliance;2019-05-25T16:18:06.000Z;0
Alliance;2019-05-25T16:18:10.000Z;0
Alliance;2019-05-25T16:18:14.000Z;0
Alliance;2019-05-25T16:18:18.000Z;0
Alliance;2019-05-25T16:18:22.000Z;1
Alliance;2019-05-25T16:18:26.000Z;0
Alliance;2019-05-25T16:18:30.000Z;0
Alliance;2019-05-25T16:18:34.000Z;0
Alliance;2019-05-25T16:18:38.000Z;0
Alliance;2019-05-25T16:18:42.000Z;0
Alliance;2019-05-25T16:18:46.000Z;4
Alliance;2019-05-25T16:18:50.000Z;0.9990009990009991
Alliance;2019-05-25T16:18:54.000Z;0.9990009990009991
Alliance;2019-05-25T16:18:58.000Z;2.0161290322580645
Alliance;2019-05-25T16:19:02.000Z;0
Alliance;2019-05-25T16:19:06.000Z;0
Alliance;2019-05-25T16:19:10.000Z;0
Alliance;2019-05-25T16:19:14.000Z;2
Alliance;2019-05-25T16:19:18.000Z;1.9980019980019983
Alliance;2019-05-25T16:19:22.000Z;0
Alliance;2019-05-25T16:19:26.000Z;0
Alliance;2019-05-25T16:19:30.000Z;0
Alliance;2019-05-25T16:19:34.000Z;0
Alliance;2019-05-25T16:19:38.000Z;0
Alliance;2019-05-25T16:19:42.000Z;0
Alliance;2019-05-25T16:19:46.000Z;0
Alliance;2019-05-25T16:19:50.000Z;0
Alliance;2019-05-25T16:19:54.000Z;0
Alliance;2019-05-25T16:19:58.000Z;0
Alliance;2019-05-25T16:20:02.000Z;0
Alliance;2019-05-25T16:20:06.000Z;0
Alliance;2019-05-25T16:20:10.000Z;0
Alliance;2019-05-25T16:20:14.000Z;0
Alliance;2019-05-25T16:20:18.000Z;0
Alliance;2019-05-25T16:20:22.000Z;0
Alliance;2019-05-25T16:20:26.000Z;0
Alliance;2019-05-25T16:20:30.000Z;0
Alliance;2019-05-25T16:20:34.000Z;0
Alliance;2019-05-25T16:20:38.000Z;1
Alliance;2019-05-25T16:20:42.000Z;2
Alliance;2019-05-25T16:20:46.000Z;1
Alliance;2019-05-25T16:20:50.000Z;0
Alliance;2019-05-25T16:20:54.000Z;2
Alliance;2019-05-25T16:20:58.000Z;2
Alliance;2019-05-25T16:21:02.000Z;0
Alliance;2019-05-25T16:21:06.000Z;0
Alliance;2019-05-25T16:21:10.000Z;0
Alliance;2019-05-25T16:21:14.000Z;2
Alliance;2019-05-25T16:21:18.000Z;2
Alliance;2019-05-25T16:21:22.000Z;0
Alliance;2019-05-25T16:21:26.000Z;0
Alliance;2019-05-25T16:21:30.000Z;1
Alliance;2019-05-25T16:21:34.000Z;1
Alliance;2019-05-25T16:21:38.000Z;0
Alliance;2019-05-25T16:21:42.000Z;0
Alliance;2019-05-25T16:21:46.000Z;0
Alliance;2019-05-25T16:21:50.000Z;1
Alliance;2019-05-25T16:21:54.000Z;0
Alliance;2019-05-25T16:21:58.000Z;0
Alliance;2019-05-25T16:22:02.000Z;0
Alliance;2019-05-25T16:22:06.000Z;0
Alliance;2019-05-25T16:22:10.000Z;0
Alliance;2019-05-25T16:22:14.000Z;0
Alliance;2019-05-25T16:22:18.000Z;0
Alliance;2019-05-25T16:22:22.000Z;0
Alliance;2019-05-25T16:22:26.000Z;1
Alliance;2019-05-25T16:22:30.000Z;0
Alliance;2019-05-25T16:22:34.000Z;0
Alliance;2019-05-25T16:22:38.000Z;1
Alliance;2019-05-25T16:22:42.000Z;1
Alliance;2019-05-25T16:22:46.000Z;0
Alliance;2019-05-25T16:22:50.000Z;0
Alliance;2019-05-25T16:22:54.000Z;0
Alliance;2019-05-25T16:22:58.000Z;0
Alliance;2019-05-25T16:23:02.000Z;0
Alliance;2019-05-25T16:23:06.000Z;0
Alliance;2019-05-25T16:23:10.000Z;0
Alliance;2019-05-25T16:23:14.000Z;0
Alliance;2019-05-25T16:23:18.000Z;0
Alliance;2019-05-25T16:23:22.000Z;0
Alliance;2019-05-25T16:23:26.000Z;0
Alliance;2019-05-25T16:23:30.000Z;2
Alliance;2019-05-25T16:23:34.000Z;0
Alliance;2019-05-25T16:23:38.000Z;0
Alliance;2019-05-25T16:23:42.000Z;0
Alliance;2019-05-25T16:23:46.000Z;0
Alliance;2019-05-25T16:23:50.000Z;0
Alliance;2019-05-25T16:23:54.000Z;0
Alliance;2019-05-25T16:23:58.000Z;0
Alliance;2019-05-25T16:24:02.000Z;0
Alliance;2019-05-25T16:24:06.000Z;0
Alliance;2019-05-25T16:24:10.000Z;0
Alliance;2019-05-25T16:24:14.000Z;0
Alliance;2019-05-25T16:24:18.000Z;0
Alliance;2019-05-25T16:24:22.000Z;0
Alliance;2019-05-25T16:24:26.000Z;0
Alliance;2019-05-25T16:24:30.000Z;0
Alliance;2019-05-25T16:24:34.000Z;0
Alliance;2019-05-25T16:24:38.000Z;0
Alliance;2019-05-25T16:24:42.000Z;0
Alliance;2019-05-25T16:24:46.000Z;0
Alliance;2019-05-25T16:24:50.000Z;0
Alliance;2019-05-25T16:24:54.000Z;0
Alliance;2019-05-25T16:24:58.000Z;0
Alliance;2019-05-25T16:25:02.000Z;0
Alliance;2019-05-25T16:25:06.000Z;0
Alliance;2019-05-25T16:25:10.000Z;0
Alliance;2019-05-25T16:25:14.000Z;0
Alliance;2019-05-25T16:25:18.000Z;0
Alliance;2019-05-25T16:25:22.000Z;0
Alliance;2019-05-25T16:25:26.000Z;0
Alliance;2019-05-25T16:25:30.000Z;0
Alliance;2019-05-25T16:25:34.000Z;0
Alliance;2019-05-25T16:25:38.000Z;0
Alliance;2019-05-25T16:25:42.000Z;0
Alliance;2019-05-25T16:25:46.000Z;0
Alliance;2019-05-25T16:25:50.000Z;0
Alliance;2019-05-25T16:25:54.000Z;0
Alliance;2019-05-25T16:25:58.000Z;0
Alliance;2019-05-25T16:26:02.000Z;0
Alliance;2019-05-25T16:26:06.000Z;0
Alliance;2019-05-25T16:26:10.000Z;0
Alliance;2019-05-25T16:26:14.000Z;0
Alliance;2019-05-25T16:26:18.000Z;0
Alliance;2019-05-25T16:26:22.000Z;0
Alliance;2019-05-25T16:26:26.000Z;2
Alliance;2019-05-25T16:26:30.000Z;0
Alliance;2019-05-25T16:26:34.000Z;0
Alliance;2019-05-25T16:26:38.000Z;0
Alliance;2019-05-25T16:26:42.000Z;0
Alliance;2019-05-25T16:26:46.000Z;0
Alliance;2019-05-25T16:26:50.000Z;2
Alliance;2019-05-25T16:26:54.000Z;0
Alliance;2019-05-25T16:26:58.000Z;0
Alliance;2019-05-25T16:27:02.000Z;1
Alliance;2019-05-25T16:27:06.000Z;0
Alliance;2019-05-25T16:27:10.000Z;0
Alliance;2019-05-25T16:27:14.000Z;0
Alliance;2019-05-25T16:27:18.000Z;0
Alliance;2019-05-25T16:27:22.000Z;0
Alliance;2019-05-25T16:27:26.000Z;0
Alliance;2019-05-25T16:27:30.000Z;0
Alliance;2019-05-25T16:27:34.000Z;0
Alliance;2019-05-25T16:27:38.000Z;0
Alliance;2019-05-25T16:27:42.000Z;2
Alliance;2019-05-25T16:27:46.000Z;0
Alliance;2019-05-25T16:27:50.000Z;0
Alliance;2019-05-25T16:27:54.000Z;4
Alliance;2019-05-25T16:27:58.000Z;0
Alliance;2019-05-25T16:28:02.000Z;0
Alliance;2019-05-25T16:28:06.000Z;0
Alliance;2019-05-25T16:28:10.000Z;0
Alliance;2019-05-25T16:28:14.000Z;0
Alliance;2019-05-25T16:28:18.000Z;0
Alliance;2019-05-25T16:28:22.000Z;0
Alliance;2019-05-25T16:28:26.000Z;0
Alliance;2019-05-25T16:28:30.000Z;0
Alliance;2019-05-25T16:28:34.000Z;0
Alliance;2019-05-25T16:28:38.000Z;0
Alliance;2019-05-25T16:28:42.000Z;0
Alliance;2019-05-25T16:28:46.000Z;0
Alliance;2019-05-25T16:28:50.000Z;0
Alliance;2019-05-25T16:28:54.000Z;1.9900497512437814
Alliance;2019-05-25T16:28:58.000Z;0
Alliance;2019-05-25T16:29:02.000Z;0
Alliance;2019-05-25T16:29:06.000Z;0
Alliance;2019-05-25T16:29:10.000Z;2
Alliance;2019-05-25T16:29:14.000Z;0
Alliance;2019-05-25T16:29:18.000Z;0
Alliance;2019-05-25T16:29:22.000Z;2
Alliance;2019-05-25T16:29:26.000Z;1.002004008016032
Alliance;2019-05-25T16:29:30.000Z;0
Alliance;2019-05-25T16:29:34.000Z;0
Alliance;2019-05-25T16:29:38.000Z;0
Alliance;2019-05-25T16:29:42.000Z;0
Alliance;2019-05-25T16:29:46.000Z;0
Alliance;2019-05-25T16:29:50.000Z;0
