Series;Time;Value
Alliance (Failed - False);2019-05-25T16:02:18.000Z;36
Alliance (Failed - False);2019-05-25T16:02:20.000Z;36
Alliance (Failed - False);2019-05-25T16:02:22.000Z;36
Alliance (Failed - False);2019-05-25T16:02:24.000Z;36
Alliance (Failed - False);2019-05-25T16:02:26.000Z;36
Alliance (Failed - False);2019-05-25T16:02:28.000Z;36
Alliance (Failed - False);2019-05-25T16:02:30.000Z;36
Alliance (Failed - False);2019-05-25T16:02:32.000Z;36
Alliance (Failed - False);2019-05-25T16:02:34.000Z;36
Alliance (Failed - False);2019-05-25T16:02:36.000Z;36
Alliance (Failed - False);2019-05-25T16:02:38.000Z;36
Alliance (Failed - False);2019-05-25T16:02:40.000Z;36
Alliance (Failed - False);2019-05-25T16:02:42.000Z;36
Alliance (Failed - False);2019-05-25T16:02:44.000Z;36
Alliance (Failed - False);2019-05-25T16:02:46.000Z;36
Alliance (Failed - False);2019-05-25T16:02:48.000Z;36
Alliance (Failed - False);2019-05-25T16:02:50.000Z;36
Alliance (Failed - False);2019-05-25T16:02:52.000Z;36
Alliance (Failed - False);2019-05-25T16:02:54.000Z;36
Alliance (Failed - False);2019-05-25T16:02:56.000Z;36
Alliance (Failed - False);2019-05-25T16:02:58.000Z;36
Alliance (Failed - False);2019-05-25T16:03:00.000Z;36
Alliance (Failed - False);2019-05-25T16:03:02.000Z;36
Alliance (Failed - False);2019-05-25T16:03:04.000Z;36
Alliance (Failed - False);2019-05-25T16:03:06.000Z;36
Alliance (Failed - False);2019-05-25T16:03:08.000Z;36
Alliance (Failed - False);2019-05-25T16:03:10.000Z;36
Alliance (Failed - False);2019-05-25T16:03:12.000Z;36
Alliance (Failed - False);2019-05-25T16:03:14.000Z;36
Alliance (Failed - False);2019-05-25T16:03:16.000Z;36
Alliance (Failed - False);2019-05-25T16:03:18.000Z;36
Alliance (Failed - False);2019-05-25T16:03:20.000Z;36
Alliance (Failed - False);2019-05-25T16:03:22.000Z;36
Alliance (Failed - False);2019-05-25T16:03:24.000Z;36
Alliance (Failed - False);2019-05-25T16:03:26.000Z;36
Alliance (Failed - False);2019-05-25T16:03:28.000Z;36
Alliance (Failed - False);2019-05-25T16:03:30.000Z;36
Alliance (Failed - False);2019-05-25T16:03:32.000Z;36
Alliance (Failed - False);2019-05-25T16:03:34.000Z;36
Alliance (Failed - False);2019-05-25T16:03:36.000Z;36
Alliance (Failed - False);2019-05-25T16:03:38.000Z;36
Alliance (Failed - False);2019-05-25T16:03:40.000Z;36
Alliance (Failed - False);2019-05-25T16:03:42.000Z;36
Alliance (Failed - False);2019-05-25T16:03:44.000Z;36
Alliance (Failed - False);2019-05-25T16:03:46.000Z;36
Alliance (Failed - False);2019-05-25T16:03:48.000Z;36
Alliance (Failed - False);2019-05-25T16:03:50.000Z;36
Alliance (Failed - False);2019-05-25T16:03:52.000Z;36
Alliance (Failed - False);2019-05-25T16:03:54.000Z;36
Alliance (Failed - False);2019-05-25T16:03:56.000Z;36
Alliance (Failed - False);2019-05-25T16:03:58.000Z;36
Alliance (Failed - False);2019-05-25T16:04:00.000Z;36
Alliance (Failed - False);2019-05-25T16:04:02.000Z;36
Alliance (Failed - False);2019-05-25T16:04:04.000Z;36
Alliance (Failed - False);2019-05-25T16:04:06.000Z;36
Alliance (Failed - False);2019-05-25T16:04:08.000Z;36
Alliance (Failed - False);2019-05-25T16:04:10.000Z;36
Alliance (Failed - False);2019-05-25T16:04:12.000Z;36
Alliance (Failed - False);2019-05-25T16:04:14.000Z;36
Alliance (Failed - False);2019-05-25T16:04:16.000Z;37
Alliance (Failed - False);2019-05-25T16:04:18.000Z;38
Alliance (Failed - False);2019-05-25T16:04:20.000Z;39
Alliance (Failed - False);2019-05-25T16:04:22.000Z;40
Alliance (Failed - False);2019-05-25T16:04:24.000Z;41
Alliance (Failed - False);2019-05-25T16:04:26.000Z;42
Alliance (Failed - False);2019-05-25T16:04:28.000Z;42
Alliance (Failed - False);2019-05-25T16:04:30.000Z;43
Alliance (Failed - False);2019-05-25T16:04:32.000Z;43
Alliance (Failed - False);2019-05-25T16:04:34.000Z;43
Alliance (Failed - False);2019-05-25T16:04:36.000Z;43
Alliance (Failed - False);2019-05-25T16:04:38.000Z;43
Alliance (Failed - False);2019-05-25T16:04:40.000Z;43
Alliance (Failed - False);2019-05-25T16:04:42.000Z;43
Alliance (Failed - False);2019-05-25T16:04:44.000Z;43
Alliance (Failed - False);2019-05-25T16:04:46.000Z;43
Alliance (Failed - False);2019-05-25T16:04:48.000Z;43
Alliance (Failed - False);2019-05-25T16:04:50.000Z;43
Alliance (Failed - False);2019-05-25T16:04:52.000Z;43
Alliance (Failed - False);2019-05-25T16:04:54.000Z;44
Alliance (Failed - False);2019-05-25T16:04:56.000Z;44
Alliance (Failed - False);2019-05-25T16:04:58.000Z;44
Alliance (Failed - False);2019-05-25T16:05:00.000Z;44
Alliance (Failed - False);2019-05-25T16:05:02.000Z;44
Alliance (Failed - False);2019-05-25T16:05:04.000Z;44
Alliance (Failed - False);2019-05-25T16:05:06.000Z;44
Alliance (Failed - False);2019-05-25T16:05:08.000Z;45
Alliance (Failed - False);2019-05-25T16:05:10.000Z;46
Alliance (Failed - False);2019-05-25T16:05:12.000Z;47
Alliance (Failed - False);2019-05-25T16:05:14.000Z;47
Alliance (Failed - False);2019-05-25T16:05:16.000Z;47
Alliance (Failed - False);2019-05-25T16:05:18.000Z;47
Alliance (Failed - False);2019-05-25T16:05:20.000Z;47
Alliance (Failed - False);2019-05-25T16:05:22.000Z;47
Alliance (Failed - False);2019-05-25T16:05:24.000Z;47
Alliance (Failed - False);2019-05-25T16:05:26.000Z;47
Alliance (Failed - False);2019-05-25T16:05:28.000Z;47
Alliance (Failed - False);2019-05-25T16:05:30.000Z;48
